1    ,反正我哭了。我妈妈身体也不好。也是药养着。但是现在都有医保啥的。条件也好了。但是身临其境的想下。眼泪就止不住了。很好的电影
2    ,"据说是一部真实事情而改编的电影，一直觉得徐铮是一位优秀的好演员。

此部电影反应了社会、现实、人性的一些问题，生命漫长而又短暂，好好活着就是最大的奢侈，好好生活，保持善良。平凡并不可怕，拥有高贵的品格才是人最需要的东西，身处绝境也能绽放出最温暖的笑容。

这部电影的题材与以往很多国产电影不同，我相信电影最后每一个落泪的人内心都有一份纯净。希望以后能多有这样类型的电影，传递正能量，去正视社会，也敲醒人性的真诚和理解。

这个世界没有药神，也没有超级英雄，而是因为千千万万平凡如你我的小人物。

良心剧... 推荐 ～ ???"
3    ,"给九分是因为这片真实的说出了在中国就是吃天价药，发个烧二话不说先打针吊牌几百块就没了，更别说得了重病治疗了，穷人家根本看不起病，
法律不在乎人情，只会纵容坏人，好人都得不好报！！"
4    ,不亏和老公凌晨赶场过来看，话不多说，真的值得一看。
5    ,"真的很赞  笑点泪点把控的很好
故事真实    今天去看爆满  前面笑一片  后面哭一片"
6    ,虐心，但走心，这是生活的真相。希望越来越好，向有社会责任感的制作团队致敬！
7    ,虽然现实远比这残酷，影片进行了文艺化处理，但仍然值得深思，不失为一部好片。徐峥是一个有自己想法的演员和导演，不随波逐流，才能走得更远。
8    ,"5星推荐
出来一个个都是哭肿的双眼
小人物 大事件
笑中含泪
好片"
9    ,"期待王传君的演技，就当提前见见关谷吧，丢掉关谷的光环，希望其他角色也能让大家喜欢
他只是单纯的不想绑在一个角色里而已，有什么不对，就像苏有朋的五阿哥，赵薇的小燕子，都对他们影响很大，甚至被定型了，跳出这个角色挺好的，人家王传君正经的上海人，大家现在应该都不知道人家正经说话是什么样子吧"
10   ,非常好看，值回票价
11   ,感人，很好看，推荐
12   ,真的特别好看。
13   ,真实，值得一看的好电影
14   ,太好看了 很真实的一部片子 徐峥超棒爱你
15   ,"真的超好看呐 前面穿插着一些小笑点 但后面真的太令人感动了 浩子（小黄毛）死的时候真的差一点就哭出来了
看完这部电影 总觉得现实就是好人总是没好报"
16   ,还可以，反应了但是那个时候的国情
17   ,很像韩国的电影 写实赚眼泪
18   ,值得欣慰，的是，真实事件改编，心里无比温暖。
19   ,"笑点高，伤点也高！
推荐??"
20   ,近10年来看过最好看的社会写实电影
21   ,普渡众生，皆是英雄
